route_type,segment_actual_time,segment_osrm_time,segment_osrm_distance,avg_delay
Carting,25.29126502575844,10.91830566685747,11.875319276473954,14.372959358900971
FTL,41.828619709188786,22.300100175053377,28.20551045058537,19.52851953413541
